Date,Open,High,Low,Close,Volume,Adj Close
2011-01-03,120.59,121.63,120.01,121.03,1893100,100.75
2011-01-04,121.78,122.25,119.46,121.86,2816000,101.44
2011-01-05,121.5,125.0,120.37,124.91,3059700,103.98
2011-01-06,125.16,125.59,121.91,122.38,2178000,101.87
2011-01-07,122.8,124.03,122.17,123.17,2035300,102.53
2011-01-10,123.28,125.24,122.17,124.74,2031100,103.83
2011-01-11,125.0,125.42,124.3,125.13,1857700,104.16
2011-01-12,126.25,127.14,125.64,126.2,1837500,105.05
2011-01-13,126.93,127.17,124.41,125.18,2750400,104.2
2011-01-14,124.86,125.73,123.36,125.63,3199500,104.57
2011-01-18,126.23,127.64,125.3,127.56,2570900,106.18
2011-01-19,127.09,127.73,123.77,124.18,2649100,103.49
2011-01-20,123.99,124.79,122.66,124.16,2075900,103.47
2011-01-21,125.25,125.66,124.0,125.6,2222000,104.67
2011-01-24,124.83,125.69,123.25,123.92,2693900,103.27
2011-01-25,123.08,123.08,120.32,122.64,4035200,102.21
2011-01-26,123.26,123.35,121.22,122.1,5431900,101.76
2011-01-27,121.66,121.9,114.03,116.33,12839700,96.95
2011-01-28,116.05,116.19,110.29,114.84,15891500,95.71
2011-01-31,114.7,119.4,114.31,119.36,7182700,99.47
2011-02-01,120.15,120.29,117.09,118.98,8829300,99.16
2011-02-02,118.7,121.75,118.36,121.06,5444700,100.89
2011-02-03,120.42,120.64,117.65,118.32,4846900,98.61
2011-02-04,118.66,118.93,116.46,116.84,5507100,97.37
2011-02-07,118.12,118.82,117.15,117.77,3766300,98.15
2011-02-08,117.54,118.05,117.04,117.5,3093100,97.92
2011-02-09,117.3,117.62,115.46,116.15,3064300,96.8
2011-02-10,115.87,118.89,115.52,117.75,5626800,98.13
2011-02-11,118.17,119.94,117.02,119.73,5808300,99.78
2011-02-14,120.5,122.2,120.07,121.18,3325900,100.99
2011-02-15,121.2,121.56,118.93,119.34,2941900,99.46
2011-02-16,120.14,120.7,118.59,120.51,4358900,100.43
2011-02-17,118.51,121.86,118.5,120.62,5672600,100.52
2011-02-18,121.03,121.35,119.55,120.01,4280000,100.01
2011-02-22,119.84,120.67,116.28,117.07,4934200,97.56
2011-02-23,118.09,121.19,117.7,120.93,4524500,100.78
2011-02-24,121.31,121.74,119.85,120.5,3288800,100.42
2011-02-25,120.99,123.53,120.5,123.53,3397600,102.95
2011-02-28,123.49,124.85,123.15,124.62,3129600,103.86
2011-03-01,125.4,125.6,120.77,120.86,3131900,100.72
2011-03-02,120.89,121.79,119.04,121.09,2180100,100.91
2011-03-03,121.23,124.67,120.72,124.61,3270400,103.85
2011-03-04,124.08,124.54,121.66,122.62,2808600,102.19
2011-03-07,123.37,124.0,119.49,120.97,2830000,100.81
2011-03-08,120.92,122.47,120.25,121.36,2083400,101.14
2011-03-09,121.23,121.97,119.88,120.67,1876000,100.56
2011-03-10,118.64,119.69,115.87,115.94,4554700,96.62
2011-03-11,115.7,119.37,115.66,118.82,3107300,99.02
2011-03-14,117.65,119.57,117.41,119.12,2538400,99.27
2011-03-15,115.43,118.72,114.22,117.84,3091300,98.21
2011-03-16,117.66,119.0,113.02,113.77,6644200,94.81
2011-03-17,116.27,118.43,115.4,118.11,3269900,98.43
2011-03-18,119.59,120.48,118.94,120.11,5228700,100.1
2011-03-21,120.95,125.1,120.95,125.1,5063000,104.26
2011-03-22,124.83,126.39,124.53,125.88,3756300,104.91
2011-03-23,125.38,125.99,123.32,124.53,2642800,103.78
2011-03-24,125.99,125.99,123.5,124.89,2504000,104.08
2011-03-25,125.46,126.96,125.0,125.94,2293200,104.96
2011-03-28,125.98,127.81,125.03,126.25,3037700,105.21
2011-03-29,125.78,128.45,124.43,127.94,2580600,106.62
2011-03-30,128.79,131.61,127.82,130.43,3667200,108.7
2011-03-31,130.91,132.5,130.64,130.92,3219100,109.11
2011-04-01,131.5,132.33,129.65,129.98,2595100,108.32
2011-04-04,130.56,131.87,130.07,130.3,2160600,108.59
2011-04-05,130.11,131.63,129.86,131.25,1958200,109.38
2011-04-06,131.56,131.9,129.04,129.59,2313400,108.0
2011-04-07,129.58,130.24,128.01,128.79,2127700,107.33
2011-04-08,130.07,131.78,129.51,130.16,3093800,108.47
2011-04-11,130.0,130.0,125.66,126.25,3829400,105.21
2011-04-12,124.9,125.1,121.55,122.4,4060400,102.01
2011-04-13,123.68,124.5,121.55,122.26,2965200,101.89
2011-04-14,121.79,123.01,120.84,122.41,2330100,102.01
2011-04-15,122.39,122.82,121.51,122.4,2944200,102.01
2011-04-18,120.48,121.46,119.3,120.93,2054000,100.78
2011-04-19,120.96,122.29,120.72,121.89,1860100,101.71
2011-04-20,124.0,124.69,123.32,123.91,2539400,103.39
2011-04-21,124.34,124.34,122.22,123.32,2185600,102.9
2011-04-25,123.39,123.89,122.07,122.6,2449800,102.3
2011-04-26,122.99,126.23,122.96,126.2,3300000,105.3
2011-04-27,126.4,127.21,124.31,126.92,3189100,105.9
2011-04-28,128.72,131.24,128.0,130.0,3815700,108.47
2011-04-29,130.22,134.13,130.17,133.37,3845100,111.29
2011-05-02,133.66,133.67,130.22,130.94,2480400,109.26
2011-05-03,130.89,131.17,127.11,129.15,2929700,107.76
2011-05-04,129.01,129.01,125.43,126.61,3114200,105.65
2011-05-05,124.69,125.68,121.61,122.84,4563700,102.5
2011-05-06,124.61,127.83,122.63,124.21,3374700,103.64
2011-05-09,124.95,127.91,124.95,127.33,2454500,106.25
2011-05-10,128.22,128.76,126.12,127.95,2475200,106.76
2011-05-11,127.44,127.44,122.79,123.42,2937800,102.98
2011-05-12,123.04,124.34,121.35,123.42,3078600,102.98
2011-05-13,124.24,125.42,121.6,124.25,2920500,103.68
2011-05-16,123.48,125.15,121.71,122.27,3015700,102.02
2011-05-17,121.42,121.68,118.83,121.43,3836200,101.32
2011-05-18,122.07,124.25,121.29,123.29,2564900,102.88
2011-05-19,124.0,124.52,121.66,122.85,2151600,102.51
2011-05-20,122.38,124.0,120.56,123.0,3036200,102.63
2011-05-23,120.53,122.15,119.82,121.06,2384100,101.01
2011-05-24,122.35,124.13,121.56,121.98,2695600,101.78
2011-05-25,121.5,124.4,121.34,123.93,2267100,103.41
2011-05-26,123.33,124.31,121.89,123.91,2450900,103.39
2011-05-27,124.59,125.19,122.17,123.25,2207900,102.84
2011-05-31,124.64,125.08,122.55,124.6,2130900,103.97
2011-06-01,123.98,125.44,120.68,121.02,2802400,100.98
2011-06-02,120.88,121.99,119.32,120.64,2231000,100.66
2011-06-03,119.09,120.44,117.95,119.44,4223600,99.66
2011-06-06,119.1,120.1,117.0,117.17,2582400,97.77
2011-06-07,118.87,120.08,117.14,117.9,3570500,98.38
2011-06-08,118.22,121.68,118.22,119.49,3536100,99.7
2011-06-09,120.06,120.91,119.19,120.29,2146200,100.37
2011-06-10,119.24,119.58,117.56,117.75,2704600,98.25
2011-06-13,117.88,118.49,114.94,116.15,2521800,96.92
2011-06-14,117.46,118.98,117.42,118.3,2137100,98.71
2011-06-15,117.38,118.95,115.32,116.14,2873300,96.91
2011-06-16,117.18,117.96,115.3,117.0,2852500,97.63
2011-06-17,118.07,118.46,116.33,117.16,3659800,97.76
2011-06-20,116.84,117.68,116.12,116.8,2615100,97.46
2011-06-21,117.71,119.65,117.52,119.1,2192800,99.38
2011-06-22,118.47,120.17,118.2,118.3,2124900,98.71
2011-06-23,116.43,117.6,115.27,117.41,3659500,97.97
2011-06-24,117.37,118.03,115.61,115.98,3082300,96.78
2011-06-27,115.07,116.68,115.07,116.24,1711400,96.99
2011-06-28,116.82,119.85,116.81,119.79,2417600,99.95
2011-06-29,120.32,122.43,119.9,121.09,2731400,101.04
2011-06-30,121.79,123.78,121.51,123.39,2504300,102.96
2011-07-01,122.94,123.89,121.63,123.74,1524200,103.25
2011-07-05,123.24,125.15,123.14,124.49,1614700,103.88
2011-07-06,123.13,124.03,122.18,123.71,1910900,103.23
2011-07-07,125.29,126.64,125.18,126.38,2203200,105.45
2011-07-08,124.32,125.47,123.84,125.13,2029300,104.41
